name,instructions
Aspirin,"Important warning: Aspirin increases the risk of serious bleeding, including in the stomach and brain. Do not give aspirin to children or teenagers with viral illnesses such as flu or chickenpox due to the risk of Reye’s syndrome. Do not use if you have active bleeding, a bleeding disorder, a history of severe stomach ulcers or recent GI bleeding, or if you are allergic to aspirin or other NSAIDs. Why is this medication prescribed? Aspirin is used to treat pain, fever, and inflammation, and at low doses it is used to reduce the risk of heart attack and stroke in certain people as directed by a clinician. How should this medicine be used? Take exactly as directed. For pain or fever, use the lowest effective dose for the shortest time needed. For heart protection, take the low-dose aspirin at the same time each day. Swallow enteric-coated tablets whole; do not crush or chew them. Non–enteric-coated tablets for suspected heart attack should be chewed if instructed by emergency personnel. Take with a full glass of water and with food if it upsets your stomach. What special precautions should I follow? Tell your clinician if you have asthma or nasal polyps, stomach or intestinal ulcers, GERD, bleeding problems, kidney or liver disease, gout, anemia, low platelet count, G6PD deficiency, are pregnant (avoid especially in the last trimester) or breastfeeding, and list all medicines and supplements you take. Important interactions include blood thinners (warfarin, DOACs), other NSAIDs, SSRIs/SNRIs, corticosteroids, methotrexate, and alcohol. If you need occasional ibuprofen, take ibuprofen at least 8 hours before or at least 30 minutes after immediate‑release aspirin used for heart protection. Stop and seek help for signs of bleeding, black stools, vomiting blood, unusual bruising, severe stomach pain, or allergic reactions. What special dietary instructions should I follow? Limit or avoid alcohol to reduce bleeding risk; there are no specific food restrictions, but taking with food may lessen stomach upset. Avoid other products containing aspirin or salicylates. What should I do if I forget a dose? For daily low-dose aspirin, take it as soon as you remember on the same day; if it is almost time for the next dose, skip the missed dose. Do not take two doses at once. For as-needed use, take only when needed and do not exceed the labeled daily maximum. What side effects can this medication cause? Upset stomach, heartburn, nausea, and easy bruising can occur. Serious side effects include stomach or intestinal bleeding, severe allergic reactions, ringing in the ears or hearing changes, dizziness, kidney problems, and in children or teens with viral illness, Reye’s syndrome."
Tetracycline,"Why is this medication prescribed? Tetracycline is an antibiotic used to treat a variety of bacterial infections such as acne, respiratory and skin infections, some sexually transmitted infections, cholera, and certain tick-borne diseases; it does not treat viral infections like colds or flu. How should this medicine be used? Take on an empty stomach with a full glass of water, at least 1 hour before or 2 hours after meals and at least 2 hours before or 4 hours after dairy products, antacids, bismuth subsalicylate, or supplements containing calcium, magnesium, aluminum, iron, or zinc. Swallow capsules or tablets with plenty of water and remain upright for 30 minutes to reduce the risk of esophageal irritation. Take doses at evenly spaced intervals and complete the full course even if you feel better. Protect your skin from sun exposure. What special precautions should I follow? Tell your clinician if you are pregnant, planning pregnancy, or breastfeeding; tetracycline can harm an unborn baby and cause permanent tooth discoloration and bone effects and is generally avoided during pregnancy and in children under 8 years old. Inform your clinician about esophageal problems, liver or kidney disease, increased intracranial pressure, and all medicines you take. Do not take with isotretinoin or acitretin due to risk of increased intracranial pressure. Tetracycline may reduce the effectiveness of some hormonal contraceptives; use a reliable backup method during therapy. Seek medical care if you develop severe headache, vision changes, persistent diarrhea, severe abdominal pain, rash, or signs of allergy. What special dietary instructions should I follow? Avoid milk and dairy products and mineral supplements around dosing times as they reduce absorption. Drink adequate fluids. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for the next dose; if so, skip the missed dose. Do not take two doses at the same time. What side effects can this medication cause? Nausea, vomiting, diarrhea, loss of appetite, photosensitivity with sunburn, and vaginal yeast infections can occur. Serious effects include esophagitis or ulcers, severe skin reactions, liver problems, permanent tooth discoloration in children, increased intracranial pressure with severe headache or vision changes, and Clostridioides difficile–associated diarrhea."
Rabeprazole,"Why is this medication prescribed? Rabeprazole is a proton pump inhibitor used to treat gastroesophageal reflux disease (GERD), heal and prevent erosive esophagitis and duodenal ulcers, treat conditions with excessive stomach acid such as Zollinger–Ellison syndrome, and in combination with antibiotics to eradicate Helicobacter pylori. How should this medicine be used? Take exactly as directed, usually once daily. Delayed‑release tablets should be swallowed whole; do not crush or chew. Some formulations may be taken with or without food; follow your specific product instructions, and for sprinkle capsules give as directed before a meal. It is not for immediate relief of heartburn symptoms; allow several days for full effect. What special precautions should I follow? Tell your clinician if you have liver disease, osteoporosis, low magnesium, lupus, kidney problems, or if you have persistent diarrhea. Long‑term use may increase the risk of fractures, vitamin B12 deficiency, low magnesium, kidney problems, and certain infections such as C. difficile diarrhea. Inform your clinician about all medicines you take, especially methotrexate, warfarin, digoxin, antifungals, antiretrovirals, and clopidogrel. Seek care for severe persistent diarrhea, rash with joint pain, signs of low magnesium such as muscle cramps or irregular heartbeat, or kidney issues. What special dietary instructions should I follow? Avoid foods and beverages that worsen reflux such as large fatty meals, chocolate, caffeine, mint, alcohol, and acidic or spicy foods. Ensure adequate calcium and magnesium intake if on long‑term therapy. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for the next dose; if so, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Headache, diarrhea, constipation, abdominal pain, nausea, gas, and rash may occur. Serious effects include severe watery diarrhea, low magnesium, kidney inflammation, new or worsening lupus, and allergic reactions."
Acitretin,"Important warning: Acitretin can cause severe birth defects. Do not use if you are pregnant, planning to become pregnant, or breastfeeding. People who can become pregnant must use two effective forms of contraception for at least 1 month before starting, during treatment, and for at least 3 years after the last dose; have regular pregnancy tests; and must not drink alcohol during treatment and for 2 months after stopping because alcohol can convert acitretin to etretinate, which stays in the body much longer and greatly extends the risk of birth defects. Do not donate blood during treatment and for 3 years after the last dose. Acitretin can cause liver injury and high triglycerides; periodic blood tests are required. Why is this medication prescribed? Acitretin is an oral retinoid used to treat severe psoriasis in adults when other treatments are not effective. How should this medicine be used? Take exactly as prescribed, usually once daily with your main meal to improve absorption. Swallow capsules whole. Do not take vitamin A supplements or other retinoids. Follow your clinician’s schedule for blood tests to monitor liver function and lipids. What special precautions should I follow? Tell your clinician about all medical conditions, especially liver disease, high cholesterol or triglycerides, diabetes, kidney disease, depression, bone disorders, and any eye problems, and list all medicines and supplements you use. Avoid tetracyclines and methotrexate due to serious interaction risks. Night vision may decrease; use caution when driving at night. Limit exposure to sunlight and UV therapy. Report severe headache, vision changes, mood changes, abdominal pain, yellowing of the skin or eyes, dark urine, or signs of pancreatitis immediately. What special dietary instructions should I follow? Take with food, avoid all alcohol during treatment and for 2 months after stopping, avoid vitamin A–containing supplements and limit eating very high–vitamin A foods in excess. If your triglycerides rise, follow clinician‑advised diet changes such as reducing sugars and saturated fats. What should I do if I forget a dose? Take it as soon as you remember the same day; if it is almost time for the next dose, skip the missed dose. Do not take two doses at the same time. What side effects can this medication cause? Very common effects include dry lips and skin, dry eyes, nosebleeds, hair thinning, nail fragility, joint or muscle pain, headache, elevated liver enzymes, and increased cholesterol or triglycerides. Serious effects include liver injury, pancreatitis, severe skin reactions, depression or mood changes, vision changes including decreased night vision, and increased intracranial pressure."
Aclidinium Oral Inhalation,"Why is this medication prescribed? Aclidinium is a long‑acting anticholinergic bronchodilator used as a maintenance treatment to improve breathing in adults with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and emphysema; it is not for relief of sudden breathing problems. How should this medicine be used? Use the Pressair device exactly as prescribed, typically one inhalation twice daily about 12 hours apart. Prepare the device, exhale fully away from the device, seal your lips around the mouthpiece, inhale quickly and deeply until you hear a click, hold your breath for as long as comfortable, and then exhale slowly. Check the control window to confirm a successful dose. Do not use more than directed and do not use to treat acute bronchospasm; keep a rescue inhaler such as albuterol available for sudden symptoms. What special precautions should I follow? Tell your clinician if you have narrow‑angle glaucoma, urinary retention, enlarged prostate or bladder neck obstruction, heart rhythm problems, or are pregnant or breastfeeding. Inform your clinician about all medicines you take, especially other anticholinergics. Stop use and seek care if you develop eye pain or vision changes, difficulty urinating, fast heartbeat, severe allergic reaction, or paradoxical bronchospasm. The device may contain lactose; tell your clinician if you have a severe milk protein allergy. What special dietary instructions should I follow? No specific dietary restrictions are required, but staying hydrated and avoiding smoking can help your lungs. What should I do if I forget a dose? Inhale a dose as soon as you remember unless it is almost time for your next dose; if so, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Dry mouth, cough, headache, sinus or throat irritation, and nausea can occur. Less common but serious effects include urinary retention, worsening narrow‑angle glaucoma with eye pain or halos, fast or irregular heartbeat, and paradoxical bronchospasm."
Acoltremon Ophthalmic,"Why is this medication prescribed? I could not verify a medication named Acoltremon for ophthalmic use in standard references. It may be a misspelling, a regional brand, or an investigational product; please confirm the exact name or active ingredient with your prescriber or pharmacist. How should this medicine be used? Do not use until the medication name is confirmed; if you have the product, follow the specific instructions on its label and those provided by your eye care professional, including hand hygiene, proper drop technique, and dosing frequency. What special precautions should I follow? Verify the correct medication and concentration before use. Tell your clinician about eye conditions, contact lens use, allergies, and all medicines you use. Do not use any eye medication that looks discolored, contains particles, or is past its expiration date. What special dietary instructions should I follow? No specific dietary instructions apply to most ophthalmic drops. What should I do if I forget a dose? Once the medication is confirmed, follow the product‑specific missed dose instructions; in general, apply a missed dose when remembered unless it is close to the next scheduled dose, and do not double the dose. What side effects can this medication cause? Side effects depend on the active ingredient; common eye‑drop effects include temporary burning or stinging, blurred vision, or eye irritation. Seek medical care for severe pain, vision changes, significant redness or swelling, or signs of allergic reaction. Please contact your clinician or pharmacist to confirm this medication’s identity before use."
Acoramidis,"Why is this medication prescribed? Acoramidis is a transthyretin (TTR) stabilizer used to treat transthyretin amyloid cardiomyopathy (ATTR‑CM) to help slow disease progression and improve outcomes. How should this medicine be used? Take exactly as prescribed, typically by mouth at a consistent time each day; your clinician will determine the dose. Swallow tablets or capsules whole unless your product instructions say otherwise. You may take it with or without food. Do not stop or change your dose without medical advice. What special precautions should I follow? Tell your clinician about liver or kidney problems, pregnancy or plans to become pregnant, and all medicines and supplements you use. Report new or worsening shortness of breath, swelling, weight gain, dizziness, or palpitations. Keep all scheduled follow‑up appointments and laboratory tests. What special dietary instructions should I follow? There are no specific food restrictions for acoramidis. If you have heart failure, follow clinician‑advised sodium and fluid restrictions and limit alcohol. What should I do if I forget a dose? Take it as soon as you remember on the same day; if it is almost time for your next dose, skip the missed dose and resume your regular schedule. Do not take two doses at once. What side effects can this medication cause? Side effects may include gastrointestinal symptoms such as diarrhea, nausea, or abdominal pain, swelling in the legs, fatigue, and dizziness. Serious allergic reactions are uncommon but require immediate medical attention. Your clinician may monitor liver tests and other labs during treatment."
Fluoride,"Why is this medication prescribed? Fluoride helps prevent tooth decay by strengthening tooth enamel; it is available in toothpastes, mouth rinses, gels, varnishes applied by dental professionals, and as prescription drops or tablets in areas with low fluoride in the water supply. How should this medicine be used? Use fluoride products exactly as directed for your age and dental risk. Brush with a pea‑sized amount of fluoride toothpaste twice daily (a smear for children under 3 years) and spit out excess; do not swallow. For prescription drops or tablets, use the dose based on your child’s age and the fluoride level in your drinking water; drops can be placed directly in the mouth or in a small amount of non‑dairy liquid, preferably at bedtime after brushing. Mouth rinses and gels should be swished and spat out; do not swallow. What special precautions should I follow? Keep all fluoride products out of reach of children to prevent accidental swallowing. Supervise young children during brushing. Tell your clinician or dentist if you have kidney disease or are on a low‑salt or special diet. Combining multiple fluoride sources may increase the risk of fluorosis in children; your dentist can help assess total exposure. Avoid taking fluoride tablets at the same time as calcium, magnesium, or aluminum‑containing products as they reduce absorption. What special dietary instructions should I follow? Know your water’s fluoride content to avoid excess; your dentist or local water authority can provide this. Avoid giving fluoride tablets with milk or calcium‑containing foods; separate by at least 2 hours. What should I do if I forget a dose? For supplements, give the missed dose when remembered unless it is almost time for the next dose; if so, skip the missed dose. Do not double doses. Resume regular brushing or rinsing at the next scheduled time. What side effects can this medication cause? When used as directed, side effects are uncommon. Possible effects include temporary tooth staining with some stannous fluoride products, mild mouth irritation, or stomach upset if swallowed. Chronic excessive intake during tooth development can cause dental fluorosis (mottling of enamel). Large accidental ingestions can cause nausea, vomiting, abdominal pain, and electrolyte disturbances; seek emergency care if a large amount is swallowed."
Tocilizumab Injection,"Important warning: Tocilizumab can increase the risk of serious, sometimes fatal infections including tuberculosis, bacterial, invasive fungal, and opportunistic infections. Your clinician will evaluate and treat latent TB if needed before starting and monitor closely during treatment; do not start if you have an active infection. Tocilizumab can also cause gastrointestinal perforation, especially in people with diverticulitis, and can cause severe decreases in white blood cells or platelets and elevations in liver enzymes; regular blood tests are required. Why is this medication prescribed? Tocilizumab is an interleukin‑6 receptor inhibitor used to treat rheumatoid arthritis, giant cell arteritis, polyarticular and systemic juvenile idiopathic arthritis, cytokine release syndrome after certain CAR‑T therapies, and in some settings hospitalized adults with severe COVID‑19 in combination with steroids. How should this medicine be used? Tocilizumab is given by subcutaneous injection at home on a schedule set by your clinician (for example every week or every other week) or by intravenous infusion in a clinic or hospital for certain indications. For injections, allow the prefilled syringe or autoinjector to reach room temperature, inspect the solution, choose a new site each time (abdomen, thigh, or upper arm), and inject as instructed; do not shake. Keep all lab and follow‑up appointments. What special precautions should I follow? Tell your clinician about all infections or exposures, TB or hepatitis history, GI disease such as diverticulitis, liver disease, low blood counts, recent vaccinations, pregnancy or breastfeeding, and all medicines you take. Do not receive live vaccines during treatment. Tocilizumab can alter the levels of other drugs metabolized by the liver; your clinician may need to adjust doses of drugs such as warfarin, statins, cyclosporine, and some oral contraceptives. Seek medical care promptly for fever, chills, cough, shortness of breath, painful urination, severe stomach pain, black stools, easy bruising or bleeding, yellowing of the skin or eyes, severe headache, or allergic reactions. What special dietary instructions should I follow? There are no specific food restrictions, but limit alcohol to reduce liver risk and maintain a balanced diet to support immune health and lipid control. What should I do if I forget a dose? If you miss a subcutaneous dose, take it as soon as you remember if it is within a few days of the scheduled time; otherwise skip the missed dose and take the next dose at the regular time. Do not take two doses at once. For infusions, contact your clinic to reschedule. What side effects can this medication cause? Injection site reactions, upper respiratory infections, headache, dizziness, increased blood pressure, and elevated cholesterol can occur. Serious effects include severe infections, GI perforation, low white blood cells or platelets, liver injury, allergic reactions, and reactivation of tuberculosis."
Cosyntropin Injection,"Why is this medication prescribed? Cosyntropin is used to test how well your adrenal glands respond to adrenocorticotropic hormone as part of an ACTH stimulation test to help diagnose adrenal insufficiency and related conditions. How should this medicine be used? It is given by a healthcare professional as a single intravenous or intramuscular injection. Blood samples for cortisol are taken before the dose and at specific times after the dose, most often at 30 and 60 minutes, following your laboratory protocol. Follow any pre test instructions such as timing of other medicines. What special precautions should I follow? Tell your doctor about all medicines and supplements, especially steroids, oral estrogens, mifepristone, ketoconazole, and anti seizure medicines, since they can affect test results. Tell your doctor about allergies and if you are pregnant or breastfeeding. Recent or ongoing steroid use can blunt the response and may require rescheduling. What special dietary instructions should I follow? No special diet is needed. Follow any fasting or timing instructions given by your testing center. What should I do if I forget a dose? If you miss your scheduled test or injection appointment, contact your healthcare provider to reschedule. What side effects can this medication cause? Temporary flushing, nausea, headache, dizziness, increased blood pressure, and pain or irritation at the injection site may occur. Rarely, allergic reactions with rash, wheezing, or swelling can occur. Seek urgent care for severe reactions."
"Corticotropin, Repository Injection","Why is this medication prescribed? Corticotropin repository is used to treat infantile spasms and to manage short term flares of certain inflammatory or autoimmune conditions such as multiple sclerosis exacerbations and nephrotic syndrome when corticosteroid effects are needed. How should this medicine be used? It is given by subcutaneous or intramuscular injection. Dosing depends on the condition being treated and your response. Your clinician will teach you or a caregiver how to inject it and how to taper the dose. Do not stop suddenly after longer courses unless your doctor tells you to because this can cause adrenal insufficiency. What special precautions should I follow? This medicine can suppress your immune system and your adrenal glands. Tell your doctor if you have an active infection, a history of stomach ulcers, osteoporosis, diabetes, high blood pressure, heart failure, kidney problems, glaucoma, cataracts, mood disorders, seizures, or thyroid disease. Avoid live vaccines during treatment and for a period after. Tell your doctor about all medicines, including diuretics, potassium lowering drugs, anticoagulants, aspirin and other NSAIDs, diabetes medicines, and vaccines. If you develop fever, severe stomach pain, black stools, severe mood changes, or vision problems, contact your doctor. What special dietary instructions should I follow? Your doctor may advise limiting salt, ensuring adequate potassium, calcium, and vitamin D, and moderating carbohydrate intake if you have diabetes. Avoid alcohol to reduce the risk of stomach bleeding. What should I do if I forget a dose? Take it as soon as you remember unless it is close to the next dose, then skip the missed dose. Do not take two doses at once. If you miss more than one dose, call your doctor to adjust the taper schedule. What side effects can this medication cause? Swelling, weight gain, increased appetite, mood changes, insomnia, elevated blood pressure, high blood sugar, acne, easy bruising, muscle weakness, delayed wound healing, and increased risk of infections. Serious effects include stomach bleeding, severe headache or vision changes, severe allergic reactions, and seizures."
Haemophilus influenzae type b (Hib) Vaccine,"Why is this medication prescribed? The Hib vaccine helps prevent serious infections caused by Haemophilus influenzae type b such as meningitis, pneumonia, epiglottitis, and bloodstream infections, mainly in young children and in certain high risk adults. How should this medicine be used? It is given as an intramuscular injection by a healthcare provider. The routine series is usually at 2 and 4 months with a booster at 12 to 15 months, and some products include a 6 month dose. Unvaccinated older children and certain adults with asplenia, sickle cell disease, or after stem cell transplant may receive catch up doses per guidelines. What special precautions should I follow? Tell your provider about any severe allergy to a previous Hib vaccine or to vaccine components and if the child has a bleeding disorder or takes blood thinners. Vaccination may be deferred for moderate or severe illness. People with weakened immune systems can receive the vaccine but may have a reduced response. What special dietary instructions should I follow? No special dietary instructions are needed. What should I do if I forget a dose? If a dose is missed, schedule the next visit as soon as possible. The series does not need to be restarted, and the remaining doses will be given on a catch up schedule. What side effects can this medication cause? Redness, swelling, or soreness at the injection site, mild fever, irritability, sleepiness, and decreased appetite can occur. Severe allergic reactions are rare but require urgent care and present with hives, wheezing, or facial swelling."
Doxycycline,"Why is this medication prescribed? Doxycycline treats many bacterial infections including acne, skin and respiratory infections, some sexually transmitted infections, Lyme disease and other tick borne illnesses, and it is used to prevent malaria in travelers. It is also used for rosacea. How should this medicine be used? Take it by mouth with a full glass of water and remain upright for at least 30 minutes. Take it at the same times each day and for the full course even if you feel better. For malaria prevention start 1 to 2 days before travel, continue daily while in the area, and continue for 4 weeks after leaving. What special precautions should I follow? Tell your doctor if you are allergic to tetracyclines, if you are pregnant or planning pregnancy, or breastfeeding. It is usually avoided in children younger than 8 years except for serious infections. It can increase sun sensitivity so use sun protection. Do not take it within 2 hours of antacids, calcium or iron supplements, magnesium, zinc, or bismuth subsalicylate. It may reduce the effectiveness of some oral contraceptives, so use an additional birth control method. Tell your doctor if you have liver disease or trouble swallowing. What special dietary instructions should I follow? You may take it with food if your stomach is upset, but avoid taking it with dairy products or calcium fortified foods at the same time. Drink plenty of water. What should I do if I forget a dose? Take it as soon as you remember. If it is almost time for the next dose, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Nausea, vomiting, diarrhea, loss of appetite, sun sensitivity with rash or sunburn, headache, yeast infections, and irritation or ulcers in the esophagus. Serious effects include severe allergic reactions and increased pressure in the skull with severe headache and vision changes."
Chlorpheniramine,"Why is this medication prescribed? Chlorpheniramine is an antihistamine used to relieve allergy and common cold symptoms including sneezing, runny nose, itchy or watery eyes, and hives. How should this medicine be used? Take it by mouth as directed by your doctor or the product label. It comes as immediate release and extended release tablets, capsules, liquids, and chewable forms. Measure liquid doses carefully and do not exceed the recommended dose. Avoid taking other products that also contain antihistamines. What special precautions should I follow? This medicine may cause drowsiness and impair your ability to drive or operate machinery. Avoid alcohol and other sedating medicines. Tell your doctor if you have glaucoma, enlarged prostate, difficulty urinating, asthma or chronic bronchitis, stomach ulcers, thyroid disease, heart disease, high blood pressure, or if you are pregnant or breastfeeding. Children and older adults may be more sensitive to side effects. What special dietary instructions should I follow? No special diet is required. Avoid alcohol. What should I do if I forget a dose? Take it when you remember. If it is almost time for the next dose, skip the missed dose. Do not double the dose. What side effects can this medication cause? Drowsiness, dizziness, dry mouth, dry eyes, blurred vision, constipation, difficulty urinating, fast heartbeat, confusion especially in older adults, and rarely allergic reactions."
Ursodiol,"Why is this medication prescribed? Ursodiol is used to dissolve certain cholesterol gallstones in people who cannot have surgery and to treat primary biliary cholangitis by improving bile flow and reducing liver inflammation. How should this medicine be used? Take it by mouth with food in divided doses as prescribed. Swallow tablets or capsules whole. If using a liquid, shake well and measure with a dosing device. It may take several months to see the full effect and your doctor will monitor liver tests and imaging. What special precautions should I follow? Tell your doctor about allergies, pregnancy, and breastfeeding. Tell your doctor if you have gallbladder or bile duct obstruction, pancreatitis, frequent biliary colic, or liver failure. Tell your doctor about all medicines, especially bile acid binding resins such as cholestyramine or colestipol, aluminum antacids, oral estrogens, and some birth control pills that can reduce effectiveness. Take other medicines that bind bile acids at a different time as advised. What special dietary instructions should I follow? Take doses with meals. Follow your doctor’s advice about a balanced diet and maintaining a healthy weight. If you have gallstones, your doctor may advise limiting very high cholesterol foods. What should I do if I forget a dose? Take it as soon as you remember unless it is close to the next dose. Do not take two doses at once. What side effects can this medication cause? Diarrhea or constipation, stomach pain, nausea, headache, dizziness, back pain, cough, skin rash, and occasionally worsening of liver tests. Contact your doctor if you notice jaundice, dark urine, or severe abdominal pain."
Interferon Gamma-1b Injection,"Why is this medication prescribed? Interferon gamma 1b helps reduce the frequency and severity of infections in chronic granulomatous disease and improves outcomes in severe malignant osteopetrosis by enhancing immune function. How should this medicine be used? It is given as a subcutaneous injection, usually three times per week in the evening. A healthcare provider will teach you how to prepare and inject it, rotate injection sites, and store the vials. Do not shake the vial and do not use if the solution is cloudy or contains particles. What special precautions should I follow? Tell your doctor if you have a history of depression, seizures, heart disease, liver or kidney disease, thyroid problems, bone marrow suppression, or autoimmune disease. This medicine can cause flu like symptoms and can affect liver enzymes and blood counts, so regular monitoring is needed. Tell your doctor about all medicines and supplements, including other immune therapies and theophylline. If you become pregnant or are breastfeeding, discuss risks and benefits. Seek care for severe mood changes, persistent fever, severe abdominal pain, yellowing of the skin or eyes, or signs of infection. What special dietary instructions should I follow? No special diet is required. Stay well hydrated and consider a light snack with the dose if advised to help with flu like symptoms. What should I do if I forget a dose? Take it as soon as you remember if it is the same day. If it is the next day, skip the missed dose and resume your regular schedule. Do not take two doses at once. What side effects can this medication cause? Fever, chills, fatigue, muscle aches, headache, nausea, vomiting, decreased appetite, redness or pain at the injection site, elevated liver enzymes, low white blood cell count, mood changes, and rarely serious allergic reactions."
Dactinomycin,"Important warning: Dactinomycin can cause severe bone marrow suppression that increases the risk of serious infection and bleeding, serious and sometimes fatal liver injury including blockage of liver blood vessels, and severe tissue damage if the drug leaks outside the vein. It must be given under the supervision of experienced healthcare professionals with the ability to manage severe complications. Why is this medication prescribed? Dactinomycin is a chemotherapy medicine used to treat certain cancers including Wilms tumor, rhabdomyosarcoma, Ewing sarcoma, testicular cancer, and gestational trophoblastic neoplasia. How should this medicine be used? It is given by intravenous infusion in a clinic or hospital, often in cycles and sometimes with other chemotherapy medicines. Doses are based on body size or weight. Your team will monitor blood counts and organ function before each dose and take precautions to prevent leakage outside the vein. What special precautions should I follow? Tell your doctor about any infections, fevers, unusual bruising or bleeding, liver disease, prior radiation to the liver, and all medicines and supplements. Avoid live vaccines during treatment and until your doctor says it is safe. Use effective contraception during treatment and for the advised period after the last dose and do not breastfeed. Report mouth sores, severe nausea or vomiting, yellowing of the skin or eyes, abdominal pain, or swelling at the infusion site. What special dietary instructions should I follow? There is no specific diet required. Eat small frequent meals and drink fluids to help with nausea and maintain hydration. Avoid alcohol to reduce liver strain. What should I do if I forget a dose? This medicine is given by your oncology team. If you miss an appointment, contact them to reschedule as soon as possible. What side effects can this medication cause? Nausea, vomiting, mouth sores, diarrhea, loss of appetite, hair loss, fatigue, rash, elevated liver enzymes, severe bone marrow suppression that can lead to infections, anemia, or bleeding, severe tissue injury if the drug leaks outside the vein, and serious liver injury that can be life threatening."
Alteplase Injection,"Important warning: Alteplase can cause severe and life threatening bleeding including bleeding in the brain. It should be used only by trained clinicians who can select appropriate patients and monitor and treat bleeding complications. Why is this medication prescribed? Alteplase is a thrombolytic medicine used to dissolve blood clots in acute ischemic stroke within a specific time window, in some cases of heart attack when other treatments are not available, in massive pulmonary embolism with instability, and to clear blocked central venous catheters. How should this medicine be used? It is given by intravenous infusion in a hospital with continuous monitoring, with dose and duration based on your weight and the condition being treated. For catheter clearance, it is instilled into the catheter and withdrawn after a set time. Blood pressure and neurological status are closely monitored and brain imaging is used to confirm stroke eligibility. What special precautions should I follow? You should not receive alteplase if you have active internal bleeding, certain types of prior brain bleeding, very high uncontrolled blood pressure, recent major surgery or head trauma, or specific bleeding disorders. Tell your team about recent procedures, strokes, gastrointestinal bleeding, ulcers, liver disease, use of blood thinners, and if you are pregnant or postpartum. Invasive procedures and intramuscular injections are minimized for 24 hours after treatment when possible. What special dietary instructions should I follow? No dietary instructions apply during emergency treatment. After treatment, follow your care team’s advice which may include limiting alcohol and following a heart healthy diet. What should I do if I forget a dose? Not applicable in emergencies. If you miss an appointment for catheter clearance, contact your clinic to reschedule. What side effects can this medication cause? Bleeding from gums or nose, bruising, low blood pressure, nausea, fever, and serious bleeding including intracranial hemorrhage with sudden severe headache, weakness, confusion, or loss of consciousness, and allergic reactions including swelling of the face or tongue especially when used with certain blood pressure medicines."
Estrogen and Progestin (Hormone Replacement Therapy),"Important warning: Estrogen with or without progestin increases the risk of blood clots, stroke, heart attack, breast cancer, and dementia in some women. Use the lowest effective dose for the shortest possible time and do not use to prevent cardiovascular disease or dementia. Why is this medication prescribed? Estrogen and progestin therapy treats moderate to severe hot flashes and other menopausal symptoms, treats moderate to severe vaginal dryness and discomfort, and helps prevent osteoporosis in women at high fracture risk when other options are not suitable. Progestin is included for women with a uterus to reduce the risk of endometrial overgrowth from estrogen. How should this medicine be used? It is taken as tablets by mouth, applied on the skin as patches or gels, or used as a vaginal ring or cream depending on the product. Dosing may be continuous or cyclic and is individualized. Follow your doctor’s directions and do not stop suddenly without medical advice. What special precautions should I follow? Do not use if you have or have had breast cancer or other estrogen dependent cancers, unexplained vaginal bleeding, active or past blood clots, stroke, heart attack, or severe liver disease. Tell your doctor about all medicines and supplements, smoking status, migraines, high blood pressure, high triglycerides, gallbladder disease, diabetes, and family history of cancer. You will need regular breast exams and mammograms and monitoring of blood pressure and lipids. Seek urgent care for chest pain, shortness of breath, coughing blood, sudden severe headache, vision changes, or leg swelling. What special dietary instructions should I follow? Limit alcohol which can increase breast cancer risk and raise triglycerides. Follow a heart healthy diet and ensure adequate calcium and vitamin D as advised. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for the next dose. If you use a patch and it falls off, reapply it or replace it as directed. Do not take two doses at once. What side effects can this medication cause? Breast tenderness, nausea, bloating, headache, mood changes, leg cramps, vaginal spotting or bleeding, fluid retention, elevated blood pressure, and rare but serious events such as blood clots, stroke, heart attack, gallbladder disease, and breast cancer."
